Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
198,45,2,100,20230918,18/9/2023,"0,028","0,001","0,049","0,004","0,094","0,006","0,091","0,010","0,166","0,008","0,266","0,016","0,322","0,022","0,365","0,037","0,342","0,015","0,602","0,047"
198,45,2,200,20230918,18/9/2023,"0,029","0,000","0,047","0,003","0,089","0,004","0,086","0,006","0,159","0,005","0,253","0,012","0,309","0,016","0,359","0,026","0,334","0,010","0,613","0,032"
1106,46,2,100,20230711,11/7/2023,"0,022","0,000","0,037","0,002","0,067","0,005","0,049","0,002","0,091","0,003","0,189","0,013","0,253","0,010","0,212","0,042","0,253","0,006","0,627","0,062"
1106,46,2,200,20230711,11/7/2023,"0,022","0,000","0,036","0,002","0,070","0,006","0,046","0,002","0,093","0,004","0,204","0,014","0,263","0,010","0,261","0,041","0,261","0,006","0,699","0,042"
1106,46,2,100,20230718,18/7/2023,"0,016","0,004","0,034","0,004","0,066","0,006","0,039","0,003","0,090","0,007","0,224","0,016","0,313","0,020","0,297","0,037","0,311","0,018","0,769","0,031"
1106,46,2,200,20230718,18/7/2023,"0,012","0,003","0,032","0,004","0,064","0,005","0,037","0,002","0,089","0,006","0,219","0,020","0,309","0,023","0,284","0,039","0,307","0,021","0,772","0,031"
1106,46,2,100,20230808,8/8/2023,"0,024","0,002","0,019","0,003","0,055","0,008","0,024","0,002","0,098","0,001","0,294","0,034","0,375","0,031","0,385","0,040","0,387","0,030","0,881","0,015"
1106,46,2,200,20230808,8/8/2023,"0,023","0,001","0,019","0,003","0,056","0,009","0,022","0,002","0,099","0,001","0,321","0,039","0,412","0,039","0,436","0,051","0,432","0,039","0,902","0,014"
1106,46,2,100,20230825,25/8/2023,"0,033","0,004","0,033","0,010","0,076","0,017","0,040","0,007","0,113","0,007","0,262","0,035","0,325","0,045","0,325","0,054","0,329","0,035","0,780","0,046"
1106,46,2,200,20230825,25/8/2023,"0,037","0,004","0,043","0,011","0,100","0,020","0,048","0,008","0,123","0,008","0,345","0,042","0,430","0,042","0,450","0,041","0,406","0,025","0,809","0,034"
1106,46,2,100,20230907,7/9/2023,"0,047","0,001","0,065","0,018","0,109","0,029","0,105","0,031","0,173","0,030","0,278","0,025","0,328","0,023","0,337","0,025","0,396","0,039","0,523","0,109"
1106,46,2,200,20230907,7/9/2023,"0,045","0,001","0,046","0,008","0,083","0,012","0,066","0,011","0,139","0,014","0,258","0,013","0,309","0,014","0,308","0,014","0,349","0,021","0,647","0,050"
1106,46,2,100,20230918,18/9/2023,"0,026","0,002","0,062","0,009","0,100","0,011","0,125","0,020","0,174","0,014","0,242","0,027","0,281","0,034","0,294","0,060","0,314","0,023","0,404","0,108"
1106,46,2,200,20230918,18/9/2023,"0,026","0,001","0,060","0,007","0,100","0,008","0,117","0,017","0,173","0,011","0,251","0,017","0,294","0,022","0,324","0,036","0,321","0,015","0,470","0,071"
177,47,2,100,20230711,11/7/2023,"0,022","0,000","0,038","0,003","0,068","0,005","0,049","0,004","0,090","0,003","0,189","0,018","0,252","0,014","0,210","0,065","0,252","0,010","0,620","0,097"
177,47,2,200,20230711,11/7/2023,"0,022","0,000","0,037","0,002","0,069","0,004","0,050","0,005","0,093","0,003","0,193","0,013","0,254","0,009","0,216","0,042","0,254","0,006","0,622","0,067"
177,47,2,100,20230718,18/7/2023,"0,014","0,005","0,032","0,004","0,066","0,006","0,038","0,003","0,091","0,007","0,234","0,016","0,326","0,020","0,322","0,036","0,325","0,016","0,790","0,026"
177,47,2,200,20230718,18/7/2023,"0,008","0,003","0,029","0,003","0,062","0,004","0,036","0,002","0,087","0,005","0,212","0,019","0,300","0,022","0,267","0,038","0,299","0,020","0,765","0,032"
177,47,2,100,20230808,8/8/2023,"0,023","0,002","0,019","0,003","0,054","0,008","0,025","0,003","0,098","0,001","0,301","0,046","0,384","0,043","0,398","0,055","0,399","0,042","0,884","0,021"
177,47,2,200,20230808,8/8/2023,"0,023","0,002","0,020","0,003","0,058","0,008","0,025","0,003","0,099","0,001","0,341","0,039","0,434","0,038","0,471","0,048","0,457","0,039","0,900","0,015"
177,47,2,100,20230825,25/8/2023,"0,029","0,002","0,025","0,007","0,065","0,013","0,035","0,004","0,109","0,006","0,262","0,035","0,328","0,044","0,336","0,054","0,335","0,036","0,810","0,035"
177,47,2,200,20230825,25/8/2023,"0,031","0,003","0,028","0,009","0,065","0,014","0,036","0,006","0,109","0,005","0,244","0,028","0,303","0,038","0,302","0,045","0,312","0,029","0,787","0,042"
177,47,2,100,20230907,7/9/2023,"0,045","0,001","0,045","0,010","0,086","0,020","0,063","0,014","0,146","0,022","0,287","0,029","0,346","0,030","0,351","0,033","0,415","0,050","0,694","0,063"
177,47,2,200,20230907,7/9/2023,"0,045","0,000","0,043","0,006","0,082","0,011","0,062","0,007","0,142","0,013","0,271","0,013","0,326","0,013","0,327","0,014","0,376","0,020","0,680","0,034"
177,47,2,100,20230918,18/9/2023,"0,027","0,001","0,053","0,006","0,096","0,007","0,093","0,013","0,167","0,010","0,269","0,023","0,325","0,030","0,367","0,052","0,343","0,020","0,595","0,063"
