Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
1100,183,2,100,20230825,25/8/2023,"0,035","0,004","0,040","0,012","0,084","0,020","0,053","0,011","0,120","0,009","0,278","0,037","0,343","0,043","0,350","0,054","0,347","0,037","0,737","0,059"
1100,183,2,100,20230907,7/9/2023,"0,046","0,001","0,052","0,016","0,088","0,026","0,082","0,026","0,154","0,030","0,261","0,028","0,309","0,028","0,309","0,029","0,354","0,046","0,582","0,109"
1100,183,2,100,20230918,18/9/2023,"0,027","0,002","0,055","0,008","0,096","0,009","0,105","0,018","0,168","0,012","0,243","0,023","0,283","0,030","0,295","0,051","0,313","0,020","0,475","0,095"
1100,183,2,200,20230711,11/7/2023,"0,022","0,000","0,037","0,002","0,072","0,006","0,048","0,003","0,095","0,004","0,218","0,013","0,277","0,010","0,325","0,043","0,271","0,006","0,741","0,033"
1100,183,2,200,20230718,18/7/2023,"0,009","0,005","0,030","0,004","0,062","0,006","0,036","0,004","0,088","0,008","0,219","0,019","0,316","0,025","0,309","0,043","0,315","0,022","0,789","0,032"
1100,183,2,200,20230808,8/8/2023,"0,028","0,003","0,026","0,006","0,067","0,014","0,032","0,006","0,100","0,002","0,330","0,058","0,409","0,056","0,433","0,073","0,435","0,058","0,863","0,032"
1100,183,2,200,20230825,25/8/2023,"0,039","0,007","0,056","0,025","0,126","0,049","0,081","0,036","0,146","0,026","0,358","0,062","0,413","0,061","0,431","0,069","0,386","0,047","0,682","0,125"
1100,183,2,200,20230907,7/9/2023,"0,046","0,001","0,047","0,014","0,080","0,022","0,072","0,019","0,145","0,027","0,252","0,032","0,296","0,033","0,290","0,038","0,333","0,056","0,603","0,093"
1100,183,2,200,20230918,18/9/2023,"0,026","0,001","0,056","0,006","0,100","0,008","0,104","0,012","0,173","0,010","0,260","0,024","0,302","0,031","0,330","0,053","0,326","0,021","0,522","0,072"
1122,184,3,100,20230711,11/7/2023,"0,022","0,000","0,034","0,001","0,061","0,003","0,045","0,002","0,086","0,002","0,188","0,013","0,256","0,011","0,221","0,050","0,254","0,008","0,659","0,066"
1122,184,3,100,20230718,18/7/2023,"0,008","0,003","0,027","0,003","0,057","0,004","0,033","0,002","0,080","0,005","0,219","0,010","0,316","0,014","0,307","0,024","0,317","0,011","0,808","0,019"
1122,184,3,100,20230808,8/8/2023,"0,022","0,002","0,016","0,002","0,049","0,005","0,022","0,002","0,098","0,001","0,274","0,035","0,365","0,042","0,373","0,050","0,379","0,040","0,887","0,017"
1122,184,3,100,20230825,25/8/2023,"0,034","0,004","0,036","0,010","0,079","0,016","0,044","0,007","0,115","0,006","0,267","0,029","0,329","0,035","0,330","0,042","0,334","0,027","0,764","0,041"
1122,184,3,100,20230907,7/9/2023,"0,047","0,001","0,064","0,011","0,117","0,019","0,091","0,014","0,186","0,021","0,325","0,022","0,385","0,025","0,400","0,026","0,489","0,039","0,630","0,052"
1122,184,3,100,20230918,18/9/2023,"0,027","0,002","0,054","0,011","0,094","0,013","0,102","0,024","0,168","0,019","0,251","0,038","0,301","0,049","0,326","0,088","0,328","0,036","0,523","0,131"
1122,184,3,200,20230711,11/7/2023,"0,022","0,000","0,035","0,001","0,062","0,003","0,046","0,002","0,088","0,003","0,197","0,010","0,262","0,008","0,253","0,034","0,261","0,005","0,694","0,036"
1122,184,3,200,20230718,18/7/2023,"0,006","0,004","0,027","0,003","0,055","0,004","0,034","0,002","0,079","0,004","0,198","0,019","0,291","0,026","0,262","0,046","0,293","0,024","0,770","0,039"
1122,184,3,200,20230808,8/8/2023,"0,022","0,001","0,017","0,002","0,049","0,005","0,022","0,002","0,098","0,001","0,295","0,041","0,395","0,047","0,419","0,061","0,417","0,055","0,900","0,016"
1122,184,3,200,20230825,25/8/2023,"0,034","0,003","0,036","0,009","0,081","0,016","0,045","0,006","0,117","0,006","0,276","0,030","0,350","0,037","0,361","0,044","0,356","0,029","0,778","0,036"
1122,184,3,200,20230907,7/9/2023,"0,046","0,000","0,047","0,007","0,088","0,012","0,069","0,009","0,153","0,014","0,283","0,013","0,339","0,013","0,341","0,014","0,406","0,020","0,665","0,038"
1122,184,3,200,20230918,18/9/2023,"0,027","0,001","0,056","0,007","0,097","0,008","0,105","0,016","0,171","0,011","0,259","0,021","0,308","0,025","0,341","0,043","0,333","0,019","0,528","0,071"
109,185,1,100,20230711,11/7/2023,"0,022","0,000","0,038","0,002","0,079","0,009","0,050","0,003","0,099","0,006","0,215","0,017","0,270","0,011","0,289","0,054","0,264","0,008","0,706","0,049"
109,185,1,100,20230718,18/7/2023,"0,013","0,004","0,033","0,003","0,073","0,006","0,037","0,002","0,099","0,006","0,241","0,010","0,333","0,012","0,337","0,021","0,331","0,010","0,801","0,016"
